epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.4747,1.65863,3.04792,1.63555,0.60523,0.32995,0.35892,0.21711,1.95362,2.46718,1.95333,0.00332373,0.00332373,0.00332373
2,143.28,1.61608,2.25358,1.63796,0.54261,0.32952,0.3523,0.22148,2.03883,2.51244,2.03053,0.00661312,0.00661312,0.00661312
3,210.647,1.64729,2.11883,1.68247,0.44184,0.23311,0.25204,0.14553,2.31975,3.83963,2.28463,0.00985852,0.00985852,0.00985852
4,277.723,1.71429,2.10928,1.75968,0.49482,0.32399,0.32521,0.19822,2.14963,2.92481,2.23886,0.009802,0.009802,0.009802
5,344.626,1.65769,1.94571,1.71669,0.48602,0.32251,0.33158,0.20757,2.09281,2.65895,2.21164,0.009736,0.009736,0.009736
6,411.149,1.59696,1.85197,1.67493,0.56781,0.34395,0.36311,0.22663,1.97935,2.55064,2.13449,0.00967,0.00967,0.00967
7,477.494,1.56419,1.78947,1.64937,0.59573,0.35695,0.39109,0.24574,2.01813,2.45117,2.13157,0.009604,0.009604,0.009604
8,544.288,1.53037,1.72777,1.62631,0.65878,0.34932,0.38044,0.24384,1.98219,2.40481,2.16653,0.009538,0.009538,0.009538
9,610.869,1.51394,1.67144,1.60605,0.56408,0.36892,0.38633,0.24739,1.96488,2.41927,2.11978,0.009472,0.009472,0.009472
10,677.489,1.47779,1.63001,1.58459,0.60841,0.3686,0.40263,0.26106,1.85655,2.35825,2.03923,0.009406,0.009406,0.009406
11,744.2,1.44193,1.60208,1.5613,0.60483,0.38589,0.41347,0.26813,1.86642,2.25327,2.04597,0.00934,0.00934,0.00934
12,810.799,1.44175,1.56985,1.54504,0.57173,0.37863,0.42021,0.28217,1.84867,2.32095,2.07632,0.009274,0.009274,0.009274
13,877.483,1.42239,1.5533,1.53996,0.61571,0.38524,0.40807,0.26405,1.89726,2.40556,2.07825,0.009208,0.009208,0.009208
14,944.133,1.4077,1.51684,1.52551,0.59368,0.38793,0.41462,0.27371,1.87867,2.25514,2.0451,0.009142,0.009142,0.009142
15,1011.18,1.38753,1.48332,1.51498,0.61899,0.37833,0.4063,0.26705,1.85932,2.29717,2.00913,0.009076,0.009076,0.009076
16,1077.93,1.38404,1.48413,1.50723,0.60271,0.39171,0.42045,0.2797,1.82163,2.2315,2.01557,0.00901,0.00901,0.00901
17,1144.48,1.36975,1.44755,1.48976,0.64541,0.39442,0.42319,0.27885,1.86183,2.26342,2.08763,0.008944,0.008944,0.008944
18,1210.77,1.36265,1.43899,1.49135,0.57091,0.39991,0.41967,0.27703,1.83408,2.24506,2.05378,0.008878,0.008878,0.008878
19,1277.57,1.35678,1.42858,1.48322,0.5836,0.39463,0.43289,0.28996,1.81855,2.19039,2.00366,0.008812,0.008812,0.008812
20,1344.32,1.34925,1.42982,1.48328,0.64558,0.39597,0.44591,0.29426,1.81623,2.21068,1.97708,0.008746,0.008746,0.008746
21,1411.04,1.33304,1.40181,1.46295,0.61439,0.39751,0.43889,0.2925,1.84349,2.21606,2.03378,0.00868,0.00868,0.00868
22,1477.71,1.32868,1.3941,1.46247,0.62321,0.40607,0.44546,0.29684,1.82645,2.23136,2.03363,0.008614,0.008614,0.008614
23,1544.15,1.31272,1.36594,1.4505,0.62965,0.41945,0.43859,0.29232,1.80042,2.16179,2.03087,0.008548,0.008548,0.008548
24,1610.81,1.31355,1.361,1.45231,0.65262,0.42417,0.46447,0.31028,1.80158,2.08992,2.02132,0.008482,0.008482,0.008482
25,1677.33,1.30754,1.35521,1.44152,0.63774,0.40693,0.43332,0.2909,1.8049,2.12341,1.9849,0.008416,0.008416,0.008416
26,1743.93,1.29935,1.351,1.43138,0.63545,0.42287,0.44172,0.29533,1.78447,2.16366,1.98701,0.00835,0.00835,0.00835
27,1810.73,1.28657,1.33509,1.42667,0.58584,0.41671,0.4457,0.30263,1.7738,2.18467,1.98588,0.008284,0.008284,0.008284
28,1877,1.29226,1.3225,1.42948,0.65262,0.42026,0.44838,0.30298,1.79411,2.10655,2.02632,0.008218,0.008218,0.008218
29,1943.39,1.27233,1.31275,1.42047,0.64871,0.41719,0.46201,0.31523,1.80042,2.14842,2.03044,0.008152,0.008152,0.008152
30,2010.04,1.2661,1.29814,1.41489,0.63164,0.4146,0.43542,0.29741,1.78378,2.1555,2.01116,0.008086,0.008086,0.008086
31,2076.68,1.26597,1.28464,1.41177,0.67091,0.42025,0.45585,0.30633,1.78265,2.08093,2.01172,0.00802,0.00802,0.00802
32,2143.24,1.26927,1.28782,1.41253,0.66534,0.41356,0.46471,0.31506,1.74191,2.11555,1.98405,0.007954,0.007954,0.007954
33,2209.69,1.24538,1.27815,1.39429,0.65514,0.42241,0.4563,0.31162,1.73569,2.08544,1.96113,0.007888,0.007888,0.007888
34,2276.12,1.25196,1.26673,1.40069,0.64268,0.42405,0.44953,0.30404,1.71424,2.13126,1.94935,0.007822,0.007822,0.007822
35,2343.14,1.24257,1.25059,1.39864,0.6589,0.4185,0.46062,0.31529,1.7271,2.08592,1.97275,0.007756,0.007756,0.007756
36,2410.08,1.2369,1.24099,1.38886,0.64136,0.43869,0.45647,0.31201,1.73688,2.12254,2.00817,0.00769,0.00769,0.00769
37,2476.8,1.23685,1.22999,1.38583,0.66519,0.42674,0.46049,0.31527,1.69841,2.11754,1.96154,0.007624,0.007624,0.007624
38,2543.5,1.22896,1.24294,1.38534,0.65279,0.42832,0.45989,0.31371,1.69639,2.03609,1.93753,0.007558,0.007558,0.007558
39,2610.09,1.22333,1.21785,1.37384,0.62793,0.43834,0.45794,0.31558,1.71684,2.06456,1.95787,0.007492,0.007492,0.007492
