epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.2639,1.6848,2.94729,1.67071,0.47233,0.41383,0.43919,0.26592,1.82577,2.14411,1.84536,0.00332649,0.00332649,0.00332649
2,177.494,1.5989,2.14528,1.62922,0.45801,0.40501,0.42826,0.25859,1.81638,2.19825,1.89366,0.00661587,0.00661587,0.00661587
3,262.843,1.67041,2.09277,1.68737,0.22577,0.21806,0.13526,0.05868,2.20673,3.30528,2.32859,0.00986125,0.00986125,0.00986125
4,347.257,1.73946,2.0677,1.77473,0.48951,0.36716,0.41583,0.2499,1.8838,2.13335,1.9747,0.009802,0.009802,0.009802
5,431.594,1.65423,1.91124,1.71078,0.62288,0.46914,0.52149,0.30821,1.86082,1.73125,1.99485,0.009736,0.009736,0.009736
6,515.951,1.60612,1.80882,1.66878,0.60341,0.42269,0.49708,0.2927,1.84082,1.88982,2.01024,0.00967,0.00967,0.00967
7,600.64,1.56359,1.71704,1.63534,0.80587,0.48014,0.55246,0.33615,1.7765,1.82861,1.9299,0.009604,0.009604,0.009604
8,684.946,1.53104,1.66319,1.60939,0.52516,0.47579,0.51813,0.3144,1.7707,1.63502,1.86796,0.009538,0.009538,0.009538
9,769.378,1.5001,1.61782,1.5816,0.62126,0.50982,0.55718,0.33974,1.78534,1.6418,1.94812,0.009472,0.009472,0.009472
10,853.666,1.48069,1.58124,1.56834,0.66069,0.51599,0.57615,0.3586,1.73721,1.53683,1.88942,0.009406,0.009406,0.009406
11,938.63,1.46741,1.54856,1.55457,0.56743,0.49973,0.54065,0.34303,1.74675,2.03277,1.91069,0.00934,0.00934,0.00934
12,1023.07,1.44263,1.50273,1.5382,0.60795,0.52116,0.57587,0.36548,1.66119,1.52117,1.83335,0.009274,0.009274,0.009274
13,1107.93,1.42776,1.48368,1.52159,0.60131,0.56696,0.59807,0.38252,1.66556,1.59542,1.83021,0.009208,0.009208,0.009208
14,1209.42,1.41193,1.46769,1.51796,0.60397,0.54715,0.58371,0.37244,1.66339,1.43466,1.81996,0.009142,0.009142,0.009142
15,1294,1.40342,1.45221,1.50698,0.603,0.56608,0.59825,0.38902,1.65406,1.77415,1.849,0.009076,0.009076,0.009076
16,1380.56,1.39131,1.42217,1.49167,0.60976,0.57448,0.6041,0.38992,1.63549,1.60367,1.81526,0.00901,0.00901,0.00901
17,1464.47,1.3787,1.41086,1.48205,0.64254,0.5661,0.62295,0.40703,1.60865,1.43572,1.77184,0.008944,0.008944,0.008944
18,1548.6,1.36935,1.38498,1.47597,0.66152,0.58095,0.62814,0.40678,1.62966,1.35847,1.81367,0.008878,0.008878,0.008878
19,1633.02,1.36083,1.36899,1.46702,0.64618,0.58417,0.63286,0.41114,1.61022,1.28783,1.78054,0.008812,0.008812,0.008812
20,1717.28,1.34873,1.35554,1.46041,0.64093,0.57411,0.62547,0.40725,1.61126,1.31908,1.81527,0.008746,0.008746,0.008746
21,1801.88,1.33977,1.33764,1.44941,0.62749,0.58264,0.62628,0.41305,1.58056,1.43206,1.76672,0.00868,0.00868,0.00868
22,1885.93,1.32849,1.32267,1.45083,0.65367,0.58065,0.62861,0.4161,1.567,1.29486,1.75085,0.008614,0.008614,0.008614
