epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5269,1.59684,2.97256,1.56632,0.58051,0.26962,0.24307,0.14462,1.99173,2.87146,1.95342,0.00331155,0.00331155,0.00331155
2,76.5499,1.54239,2.1489,1.54141,0.36783,0.31541,0.24759,0.14554,2.18144,3.93458,2.13547,0.00660102,0.00660102,0.00660102
3,114.326,1.60312,2.06603,1.60971,0.39691,0.29397,0.24034,0.13437,2.38479,5.47184,2.50663,0.0098465,0.0098465,0.0098465
4,150.429,1.71137,2.10787,1.70314,0.14738,0.17424,0.10681,0.05995,2.43174,5.84381,2.56985,0.009802,0.009802,0.009802
5,186.089,1.67994,1.93895,1.69579,0.47784,0.2867,0.29201,0.17831,2.34825,3.27651,2.40611,0.009736,0.009736,0.009736
6,221.045,1.64496,1.83148,1.67261,0.59865,0.30604,0.33393,0.20616,2.23187,2.69618,2.30385,0.00967,0.00967,0.00967
7,256.257,1.58051,1.70805,1.62865,0.55725,0.29925,0.33053,0.19669,2.19211,2.76028,2.3645,0.009604,0.009604,0.009604
8,291.282,1.55991,1.64551,1.61926,0.57922,0.33666,0.34368,0.20488,2.25449,2.67818,2.40977,0.009538,0.009538,0.009538
9,326.714,1.53217,1.60517,1.59141,0.58133,0.32792,0.35359,0.21796,2.14414,2.83081,2.31037,0.009472,0.009472,0.009472
10,361.642,1.51817,1.56099,1.58723,0.60387,0.34825,0.37021,0.22669,2.16541,2.55498,2.34716,0.009406,0.009406,0.009406
11,396.856,1.483,1.49335,1.55193,0.61869,0.35866,0.38011,0.23959,2.14387,2.58287,2.32202,0.00934,0.00934,0.00934
12,431.861,1.4652,1.46929,1.53635,0.64409,0.34845,0.38019,0.23667,2.09665,2.55755,2.24281,0.009274,0.009274,0.009274
13,466.832,1.44727,1.43464,1.5245,0.62606,0.3295,0.37222,0.2342,2.27875,2.72569,2.42147,0.009208,0.009208,0.009208
14,501.741,1.43303,1.4219,1.52043,0.61265,0.35609,0.37454,0.23695,2.0327,2.61989,2.19073,0.009142,0.009142,0.009142
15,536.508,1.4126,1.39204,1.50969,0.59614,0.35521,0.38131,0.24665,2.09758,2.62488,2.25135,0.009076,0.009076,0.009076
16,571.362,1.39607,1.3526,1.48506,0.6417,0.36816,0.39291,0.25096,2.04398,2.5819,2.20623,0.00901,0.00901,0.00901
17,606.099,1.38874,1.33545,1.48154,0.67279,0.3448,0.38067,0.24579,2.15788,2.70117,2.2925,0.008944,0.008944,0.008944
18,641.069,1.38633,1.32846,1.4871,0.61418,0.34771,0.38606,0.24771,2.07781,2.68337,2.18955,0.008878,0.008878,0.008878
19,675.876,1.38022,1.31943,1.48246,0.5999,0.36595,0.38766,0.24708,2.14284,2.51538,2.28318,0.008812,0.008812,0.008812
20,710.93,1.37871,1.3152,1.47429,0.6182,0.37831,0.4027,0.25942,2.02497,2.42454,2.20138,0.008746,0.008746,0.008746
21,746.009,1.35571,1.2792,1.45807,0.62096,0.34217,0.36661,0.23748,2.06787,2.64373,2.24889,0.00868,0.00868,0.00868
22,780.915,1.33758,1.26937,1.44524,0.58228,0.35348,0.38872,0.25549,2.02913,2.53982,2.18311,0.008614,0.008614,0.008614
23,815.932,1.33873,1.2556,1.44593,0.64898,0.38011,0.40258,0.26675,2.03234,2.44182,2.2024,0.008548,0.008548,0.008548
