epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4992,1.57131,3.00099,1.58578,0.61511,0.33532,0.31379,0.19411,1.96066,2.74384,1.92576,0.0033165,0.0033165,0.0033165
2,92.0828,1.53247,2.16929,1.57043,0.60999,0.30642,0.31989,0.19738,2.04813,2.53057,2.05291,0.00660594,0.00660594,0.00660594
3,136.41,1.55898,1.99212,1.6104,0.43066,0.28101,0.25025,0.15647,2.34766,4.41441,2.54094,0.00985139,0.00985139,0.00985139
4,179.327,1.67444,2.03271,1.73867,0.47039,0.27519,0.27692,0.16863,2.3942,3.16181,2.49485,0.009802,0.009802,0.009802
5,222.547,1.60989,1.82659,1.69784,0.51723,0.28694,0.29425,0.17784,2.35176,3.34313,2.52494,0.009736,0.009736,0.009736
6,265.086,1.56997,1.72403,1.66394,0.58212,0.33835,0.35494,0.23003,2.2797,2.71255,2.4501,0.00967,0.00967,0.00967
7,308.101,1.54296,1.65703,1.6372,0.56231,0.33852,0.34379,0.21697,2.27477,2.72538,2.40589,0.009604,0.009604,0.009604
8,350.834,1.49685,1.57201,1.6127,0.57719,0.32506,0.34598,0.22084,2.40106,2.89269,2.64611,0.009538,0.009538,0.009538
9,393.249,1.48832,1.5557,1.60551,0.77676,0.32963,0.35055,0.22011,2.12614,2.60071,2.24992,0.009472,0.009472,0.009472
10,436.294,1.46253,1.50568,1.58019,0.58908,0.34831,0.37316,0.2436,2.11906,2.48451,2.24743,0.009406,0.009406,0.009406
11,479.201,1.44183,1.45701,1.56913,0.69959,0.31764,0.35514,0.22815,2.25125,2.92387,2.5204,0.00934,0.00934,0.00934
12,521.569,1.41149,1.40816,1.549,0.64108,0.3645,0.41323,0.27516,2.18466,2.67782,2.33342,0.009274,0.009274,0.009274
13,564.327,1.39864,1.39345,1.52691,0.65882,0.34368,0.39421,0.25816,2.09848,2.63645,2.26049,0.009208,0.009208,0.009208
14,607.057,1.40045,1.37076,1.53165,0.61811,0.35258,0.37756,0.2466,2.06857,2.51919,2.18793,0.009142,0.009142,0.009142
15,649.646,1.37455,1.33467,1.50627,0.62645,0.36016,0.40511,0.27445,2.07908,2.5879,2.25404,0.009076,0.009076,0.009076
16,692.144,1.36711,1.33101,1.50721,0.63945,0.36152,0.4049,0.2671,2.11402,2.44897,2.294,0.00901,0.00901,0.00901
17,734.515,1.3529,1.30973,1.48861,0.63726,0.37765,0.41738,0.27823,2.05202,2.39169,2.22326,0.008944,0.008944,0.008944
18,777.035,1.33297,1.27479,1.47258,0.65178,0.38048,0.42327,0.2855,2.07896,2.39273,2.26166,0.008878,0.008878,0.008878
19,820.182,1.31818,1.25419,1.46842,0.62737,0.36488,0.4046,0.27543,2.06288,2.47554,2.25703,0.008812,0.008812,0.008812
20,862.624,1.32072,1.25647,1.46577,0.61624,0.36498,0.40132,0.27171,2.01429,2.50139,2.16932,0.008746,0.008746,0.008746
21,905.247,1.30316,1.23405,1.44791,0.66412,0.38167,0.43289,0.29626,2.02544,2.58214,2.20349,0.00868,0.00868,0.00868
22,947.615,1.28538,1.19921,1.4387,0.62144,0.37944,0.4147,0.27731,2.0859,2.41661,2.26107,0.008614,0.008614,0.008614
23,990.301,1.29331,1.20642,1.44733,0.62414,0.36691,0.4087,0.27516,1.99847,2.45162,2.15711,0.008548,0.008548,0.008548
