epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.4789,1.67799,2.97186,1.66167,0.45597,0.43866,0.46724,0.27146,1.81231,2.30202,1.85285,0.00332717,0.00332717,0.00332717
2,192.842,1.59652,2.15978,1.62881,0.56202,0.44373,0.50537,0.30668,1.81215,1.81878,1.85233,0.00661655,0.00661655,0.00661655
3,284.791,1.66719,2.09503,1.69313,0.60837,0.35398,0.38404,0.21724,2.1065,2.51477,2.22214,0.00986192,0.00986192,0.00986192
4,376.023,1.7173,2.05427,1.76376,0.57929,0.46181,0.52431,0.29584,1.89674,1.77434,2.01618,0.009802,0.009802,0.009802
5,471.649,1.65135,1.90416,1.70838,0.62564,0.51787,0.55293,0.33147,1.81233,1.98379,1.90423,0.009736,0.009736,0.009736
6,562.764,1.59289,1.78403,1.67005,0.5872,0.51976,0.57366,0.35687,1.76121,1.61797,1.88612,0.00967,0.00967,0.00967
7,716.931,1.55518,1.6997,1.63059,0.56962,0.54666,0.57963,0.36736,1.73433,1.5185,1.85701,0.009604,0.009604,0.009604
8,808.211,1.5147,1.64427,1.60264,0.63666,0.56336,0.60201,0.37731,1.72579,1.78157,1.86407,0.009538,0.009538,0.009538
9,899.344,1.48226,1.58155,1.57473,0.63644,0.56929,0.60362,0.38912,1.69258,1.45601,1.81943,0.009472,0.009472,0.009472
10,990.539,1.47221,1.56493,1.56044,0.59322,0.58021,0.60557,0.39069,1.70087,1.43456,1.8049,0.009406,0.009406,0.009406
11,1082.14,1.45394,1.52484,1.54435,0.65102,0.58809,0.62452,0.40711,1.6572,1.45801,1.79127,0.00934,0.00934,0.00934
12,1173.56,1.42905,1.48833,1.51856,0.63501,0.57888,0.61883,0.39567,1.65395,1.38896,1.78601,0.009274,0.009274,0.009274
13,1264.61,1.40845,1.45361,1.50839,0.64527,0.61016,0.62777,0.41766,1.61379,1.29758,1.75514,0.009208,0.009208,0.009208
14,1356.28,1.40405,1.43938,1.50389,0.66715,0.60934,0.64077,0.42052,1.61142,1.51412,1.73719,0.009142,0.009142,0.009142
15,1447.82,1.38733,1.4211,1.49101,0.6684,0.59014,0.63657,0.42698,1.5965,1.49463,1.75697,0.009076,0.009076,0.009076
16,1539.21,1.37216,1.39838,1.47996,0.67422,0.61039,0.64971,0.43057,1.57595,1.29186,1.71214,0.00901,0.00901,0.00901
17,1630.36,1.36348,1.38259,1.47562,0.65237,0.63128,0.64987,0.43598,1.5752,1.26294,1.72187,0.008944,0.008944,0.008944
18,1721.38,1.35493,1.36644,1.46389,0.67553,0.63189,0.65607,0.44734,1.55173,1.22794,1.70319,0.008878,0.008878,0.008878
19,1812.55,1.33543,1.33735,1.44906,0.65646,0.64563,0.65648,0.44437,1.56319,1.1846,1.72069,0.008812,0.008812,0.008812
20,1903.71,1.3359,1.33206,1.44748,0.65129,0.63423,0.64597,0.44561,1.54437,1.15377,1.68138,0.008746,0.008746,0.008746
21,1994.4,1.32695,1.31929,1.44635,0.66434,0.63466,0.65194,0.44933,1.52558,1.1565,1.69063,0.00868,0.00868,0.00868
22,2085.46,1.31653,1.30747,1.43524,0.66456,0.64916,0.65991,0.45353,1.52682,1.17574,1.70442,0.008614,0.008614,0.008614
23,2185.58,1.31365,1.28877,1.43122,0.67993,0.64835,0.6689,0.45721,1.50614,1.16636,1.66302,0.008548,0.008548,0.008548
24,2276.71,1.3044,1.29195,1.42686,0.67164,0.66459,0.66967,0.45856,1.50041,1.21381,1.6904,0.008482,0.008482,0.008482
25,2367.41,1.29216,1.2766,1.4182,0.66312,0.65999,0.66289,0.45624,1.49888,1.16276,1.66845,0.008416,0.008416,0.008416
26,2458.45,1.28708,1.25792,1.41437,0.66494,0.66587,0.66427,0.45808,1.50097,1.13674,1.68858,0.00835,0.00835,0.00835
27,2549.76,1.28954,1.25339,1.41221,0.67179,0.66721,0.67168,0.46038,1.49948,1.16752,1.67573,0.008284,0.008284,0.008284
28,2641.06,1.27775,1.24576,1.40474,0.6604,0.67232,0.66166,0.45342,1.50114,1.14082,1.67955,0.008218,0.008218,0.008218
29,2731.79,1.26606,1.22845,1.3955,0.67588,0.65789,0.67206,0.4648,1.48448,1.07504,1.67361,0.008152,0.008152,0.008152
30,2822.84,1.26046,1.21741,1.39219,0.68546,0.67153,0.67736,0.46818,1.49272,1.09964,1.68996,0.008086,0.008086,0.008086
31,2914.08,1.26186,1.22211,1.394,0.69,0.67373,0.67649,0.47027,1.46909,1.14535,1.68109,0.00802,0.00802,0.00802
32,3005.39,1.25615,1.21793,1.39108,0.67869,0.67216,0.67286,0.46768,1.473,1.12995,1.66851,0.007954,0.007954,0.007954
33,3096.47,1.24748,1.20805,1.38721,0.67642,0.6805,0.67412,0.47164,1.46609,1.06433,1.66111,0.007888,0.007888,0.007888
34,3187.44,1.24101,1.19002,1.37997,0.68554,0.66937,0.68003,0.47438,1.44644,1.06796,1.6321,0.007822,0.007822,0.007822
35,3278.8,1.24372,1.19533,1.37815,0.69088,0.6758,0.68036,0.47398,1.45005,1.07193,1.64215,0.007756,0.007756,0.007756
36,3369.88,1.24131,1.18806,1.38005,0.67616,0.67696,0.68104,0.47464,1.44642,1.04645,1.6345,0.00769,0.00769,0.00769
37,3461.14,1.23428,1.18219,1.37654,0.69674,0.67461,0.68423,0.47764,1.4467,1.07004,1.63824,0.007624,0.007624,0.007624
38,3552.08,1.2294,1.1764,1.3687,0.69337,0.67522,0.68227,0.47801,1.44456,1.0548,1.6366,0.007558,0.007558,0.007558
39,3644.28,1.22546,1.16099,1.3604,0.69773,0.6775,0.68535,0.47824,1.44246,1.03638,1.63351,0.007492,0.007492,0.007492
40,3735.26,1.22507,1.16859,1.36336,0.70369,0.68046,0.68675,0.47954,1.43357,1.03383,1.63825,0.007426,0.007426,0.007426
41,3826.17,1.21657,1.16108,1.35878,0.69398,0.68066,0.68247,0.48019,1.43319,1.06125,1.64013,0.00736,0.00736,0.00736
42,3917.33,1.21426,1.15081,1.35692,0.69255,0.67831,0.6849,0.48197,1.44187,1.04211,1.64677,0.007294,0.007294,0.007294
43,4008.58,1.20823,1.14441,1.35141,0.70086,0.67467,0.68574,0.48283,1.43936,1.02048,1.63778,0.007228,0.007228,0.007228
44,4099.94,1.20443,1.1415,1.34931,0.69684,0.68396,0.68456,0.48236,1.43666,1.01845,1.63486,0.007162,0.007162,0.007162
45,4190.97,1.19358,1.12787,1.34022,0.69402,0.68336,0.68288,0.48158,1.43463,1.03149,1.63277,0.007096,0.007096,0.007096
46,4282.5,1.20578,1.13098,1.34512,0.69941,0.67624,0.68333,0.48277,1.43402,1.01564,1.63339,0.00703,0.00703,0.00703
47,4375.47,1.19255,1.12207,1.33688,0.70312,0.67607,0.68317,0.4822,1.43045,1.00877,1.63448,0.006964,0.006964,0.006964
48,4470.94,1.19416,1.11956,1.3351,0.69952,0.6815,0.6853,0.48322,1.43268,1.01159,1.63872,0.006898,0.006898,0.006898
49,4563.31,1.19123,1.11591,1.33576,0.70189,0.6748,0.68467,0.4831,1.43392,1.01068,1.63993,0.006832,0.006832,0.006832
50,4655.02,1.18464,1.10728,1.33236,0.70424,0.67941,0.68639,0.484,1.43006,1.01124,1.64085,0.006766,0.006766,0.006766
51,4746.59,1.17982,1.10672,1.32987,0.70599,0.68169,0.68781,0.48516,1.42944,1.00632,1.63739,0.0067,0.0067,0.0067
52,4837.64,1.18404,1.10401,1.33138,0.69622,0.69197,0.68724,0.48573,1.42552,1.00699,1.628,0.006634,0.006634,0.006634
53,4928.63,1.18265,1.10163,1.32828,0.70205,0.6861,0.68617,0.48547,1.42574,1.00329,1.62748,0.006568,0.006568,0.006568
54,5020.23,1.17549,1.0892,1.32424,0.70349,0.68532,0.68611,0.48609,1.42371,1.00019,1.62696,0.006502,0.006502,0.006502
