epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.442,1.70748,2.9588,1.69497,0.5542,0.35989,0.34827,0.21604,1.88979,2.69127,1.92404,0.00332564,0.00332564,0.00332564
2,165.455,1.60347,2.12282,1.65298,0.46841,0.33562,0.35095,0.21533,1.95994,2.39592,2.03507,0.00661502,0.00661502,0.00661502
3,245.113,1.65844,2.05922,1.70618,0.48627,0.30764,0.30822,0.18372,2.20282,2.85085,2.27,0.0098604,0.0098604,0.0098604
4,429.095,1.74078,2.05969,1.78523,0.45643,0.27156,0.29176,0.1716,2.09223,2.86672,2.15502,0.009802,0.009802,0.009802
5,505.273,1.66095,1.92547,1.74385,0.56721,0.32271,0.34172,0.20913,2.14011,2.63503,2.26771,0.009736,0.009736,0.009736
6,581.571,1.61022,1.8153,1.69965,0.59493,0.35478,0.39139,0.24492,2.027,2.55616,2.19599,0.00967,0.00967,0.00967
7,659.674,1.56859,1.74402,1.65759,0.57456,0.35657,0.38386,0.24174,1.97708,2.64015,2.09032,0.009604,0.009604,0.009604
8,735.581,1.53421,1.66689,1.62991,0.60143,0.36966,0.41112,0.26354,1.9181,2.4435,2.10717,0.009538,0.009538,0.009538
9,812.514,1.51081,1.61701,1.6081,0.63756,0.38099,0.40987,0.2605,2.00555,2.4465,2.14311,0.009472,0.009472,0.009472
10,888.991,1.48304,1.58059,1.58836,0.59218,0.36822,0.41192,0.2714,1.84108,4.02924,2.02716,0.009406,0.009406,0.009406
11,965.221,1.45876,1.54056,1.57174,0.62943,0.39091,0.41789,0.26982,1.90758,2.70888,2.08739,0.00934,0.00934,0.00934
12,1041.65,1.44716,1.51829,1.55666,0.78655,0.36908,0.41284,0.2673,1.81682,2.36402,2.01081,0.009274,0.009274,0.009274
13,1117.69,1.42868,1.50058,1.54985,0.63771,0.39044,0.43374,0.28739,1.86777,2.49952,2.08249,0.009208,0.009208,0.009208
