epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5299,1.57798,3.0271,1.5826,0.56541,0.352,0.35142,0.20948,1.82588,2.52608,1.83609,0.00331989,0.00331989,0.00331989
2,107.856,1.54049,2.18953,1.58502,0.58255,0.32209,0.35266,0.21683,2.01687,2.23259,2.05837,0.00660931,0.00660931,0.00660931
3,160.385,1.58258,2.04174,1.63195,0.46961,0.28307,0.29416,0.1795,2.29885,5.40762,2.48884,0.00985474,0.00985474,0.00985474
4,211.125,1.67523,2.05885,1.73112,0.64073,0.29728,0.30515,0.19079,2.30806,2.90373,2.47233,0.009802,0.009802,0.009802
5,262.511,1.62982,1.89218,1.70895,0.50216,0.30878,0.29754,0.17535,2.17211,2.9857,2.27844,0.009736,0.009736,0.009736
6,313.632,1.57701,1.76841,1.65795,0.57637,0.36893,0.37693,0.23168,2.10882,2.65102,2.27339,0.00967,0.00967,0.00967
7,364.516,1.54006,1.67537,1.62939,0.5733,0.33419,0.357,0.21675,2.06959,2.77414,2.15081,0.009604,0.009604,0.009604
8,414.965,1.51644,1.62508,1.61543,0.58812,0.36655,0.37722,0.23617,1.98774,2.43593,2.11648,0.009538,0.009538,0.009538
9,465.589,1.4898,1.588,1.59014,0.60315,0.36982,0.38135,0.24101,2.09504,2.62947,2.19879,0.009472,0.009472,0.009472
10,516.571,1.46601,1.55045,1.57132,0.54732,0.37092,0.39062,0.25092,2.01628,2.33851,2.16643,0.009406,0.009406,0.009406
11,567.558,1.44814,1.51242,1.56378,0.51119,0.36955,0.38964,0.24772,1.98769,2.34368,2.13784,0.00934,0.00934,0.00934
12,618.181,1.426,1.48235,1.54837,0.55304,0.36609,0.4013,0.25825,2.04621,2.45317,2.22134,0.009274,0.009274,0.009274
13,668.422,1.41565,1.45925,1.54028,0.58805,0.36647,0.39082,0.25697,1.99039,2.37903,2.13197,0.009208,0.009208,0.009208
14,718.732,1.40106,1.43005,1.52193,0.61598,0.3846,0.41575,0.27192,1.99159,2.31051,2.11795,0.009142,0.009142,0.009142
15,768.982,1.37878,1.39825,1.50757,0.60058,0.39373,0.41536,0.26725,2.00601,2.3034,2.15493,0.009076,0.009076,0.009076
16,819.367,1.36784,1.3669,1.49601,0.61394,0.39569,0.41483,0.27012,1.9627,2.33074,2.16128,0.00901,0.00901,0.00901
17,870.437,1.3673,1.33955,1.4813,0.62992,0.39087,0.43844,0.28491,1.94373,2.28387,2.04923,0.008944,0.008944,0.008944
18,920.843,1.34119,1.3324,1.47377,0.66278,0.39362,0.43448,0.28456,1.94223,2.24903,2.15774,0.008878,0.008878,0.008878
19,971.417,1.34926,1.34461,1.4843,0.64589,0.39624,0.42566,0.28137,1.93975,2.34011,2.09801,0.008812,0.008812,0.008812
20,1022.02,1.32968,1.28392,1.46263,0.63176,0.39234,0.43501,0.28932,1.91352,2.38105,2.077,0.008746,0.008746,0.008746
21,1072.52,1.32474,1.29857,1.46723,0.6007,0.40702,0.4197,0.2809,1.93083,2.23495,2.10314,0.00868,0.00868,0.00868
22,1123.05,1.30906,1.26776,1.44639,0.63077,0.39668,0.434,0.28312,1.95878,2.36986,2.13889,0.008614,0.008614,0.008614
23,1173.62,1.30424,1.2766,1.4438,0.64757,0.39422,0.43907,0.29299,1.92902,2.3422,2.14263,0.008548,0.008548,0.008548
24,1224.1,1.30099,1.24828,1.43996,0.61408,0.38608,0.41967,0.28406,1.92871,2.31674,2.09406,0.008482,0.008482,0.008482
25,1274.59,1.30415,1.24223,1.44566,0.63746,0.39761,0.42669,0.28778,1.92549,2.33177,2.11676,0.008416,0.008416,0.008416
26,1325.11,1.28477,1.22409,1.42686,0.68439,0.40819,0.4317,0.28887,1.97626,2.29937,2.15572,0.00835,0.00835,0.00835
27,1375.32,1.28039,1.21782,1.42689,0.62373,0.39579,0.43029,0.28822,1.95969,2.22826,2.15175,0.008284,0.008284,0.008284
28,1425.67,1.2742,1.20811,1.41597,0.63761,0.41018,0.44444,0.2937,1.91256,2.21136,2.09041,0.008218,0.008218,0.008218
29,1476.04,1.27485,1.20122,1.41925,0.61809,0.40978,0.4468,0.30287,1.93079,2.32035,2.10596,0.008152,0.008152,0.008152
30,1526.43,1.26971,1.19787,1.41179,0.64386,0.42047,0.43484,0.29365,1.89576,2.24407,2.09861,0.008086,0.008086,0.008086
31,1577.08,1.2502,1.17617,1.40289,0.62282,0.41991,0.45398,0.3078,1.8944,2.22151,2.10235,0.00802,0.00802,0.00802
32,1627.46,1.24815,1.16018,1.39592,0.65389,0.41974,0.44428,0.30006,1.91966,2.27575,2.11576,0.007954,0.007954,0.007954
33,1677.89,1.24488,1.16441,1.39067,0.63548,0.42719,0.43203,0.29277,1.85831,2.25438,2.0287,0.007888,0.007888,0.007888
34,1728.26,1.24458,1.15978,1.39242,0.62194,0.41874,0.43758,0.29859,1.80222,2.21134,1.99284,0.007822,0.007822,0.007822
35,1778.54,1.23598,1.14427,1.38984,0.60939,0.42233,0.4422,0.30125,1.90761,2.22761,2.10234,0.007756,0.007756,0.007756
36,1828.69,1.24354,1.14705,1.39163,0.66085,0.4174,0.44177,0.2998,1.87622,2.22341,2.07509,0.00769,0.00769,0.00769
37,1879.08,1.2169,1.12068,1.37158,0.64232,0.42418,0.45408,0.30898,1.82607,2.14703,2.03888,0.007624,0.007624,0.007624
38,1929.35,1.22099,1.12681,1.38207,0.63484,0.40854,0.4378,0.29844,1.85335,2.20254,2.04354,0.007558,0.007558,0.007558
39,1979.52,1.21878,1.11905,1.37941,0.67203,0.41506,0.45756,0.31417,1.85224,2.1971,2.05186,0.007492,0.007492,0.007492
40,2029.9,1.2126,1.10933,1.37252,0.62895,0.3981,0.43508,0.29819,1.86552,2.20179,2.03274,0.007426,0.007426,0.007426
41,2080.37,1.2053,1.10193,1.37016,0.59829,0.4156,0.43964,0.30542,1.85378,2.18651,2.05515,0.00736,0.00736,0.00736
42,2130.86,1.19408,1.08618,1.35847,0.63807,0.4233,0.44256,0.30548,1.81608,2.19271,2.00093,0.007294,0.007294,0.007294
43,2181.09,1.1925,1.08948,1.35591,0.61573,0.42673,0.44036,0.30074,1.8426,2.14254,2.02762,0.007228,0.007228,0.007228
44,2231.42,1.20066,1.08337,1.35944,0.62812,0.43182,0.46087,0.31953,1.86054,2.21248,2.05888,0.007162,0.007162,0.007162
45,2281.82,1.18925,1.08784,1.35809,0.65346,0.42993,0.4617,0.31768,1.8331,2.17003,2.04272,0.007096,0.007096,0.007096
46,2332.11,1.18882,1.08268,1.35864,0.63268,0.42833,0.45811,0.3151,1.85371,2.16626,2.05231,0.00703,0.00703,0.00703
47,2382.36,1.17449,1.07089,1.34906,0.62195,0.42598,0.45066,0.31232,1.82479,2.157,2.0123,0.006964,0.006964,0.006964
48,2432.81,1.18149,1.06486,1.34701,0.62878,0.44045,0.44818,0.30998,1.84429,2.13318,2.08474,0.006898,0.006898,0.006898
49,2483.24,1.17308,1.04737,1.34592,0.64393,0.42821,0.453,0.31407,1.83907,2.17636,2.03088,0.006832,0.006832,0.006832
50,2533.7,1.17422,1.05495,1.34416,0.63256,0.43572,0.46369,0.32204,1.81305,2.20096,2.03917,0.006766,0.006766,0.006766
51,2584.25,1.16178,1.03974,1.34185,0.62826,0.43132,0.44585,0.31007,1.81562,2.19108,2.00109,0.0067,0.0067,0.0067
52,2634.5,1.16547,1.03979,1.33281,0.63742,0.43157,0.45422,0.31575,1.83392,2.16159,2.03195,0.006634,0.006634,0.006634
53,2684.92,1.15799,1.03991,1.33548,0.61376,0.43077,0.44752,0.31088,1.86237,2.139,2.06356,0.006568,0.006568,0.006568
54,2735.35,1.15413,1.02797,1.32641,0.65624,0.4365,0.46413,0.32339,1.83237,2.17554,2.0419,0.006502,0.006502,0.006502
55,2785.71,1.16306,1.03356,1.33553,0.64614,0.44165,0.46448,0.32313,1.83748,2.14637,2.04931,0.006436,0.006436,0.006436
56,2836.1,1.14613,1.00958,1.32194,0.63633,0.43381,0.45938,0.32146,1.83701,2.16088,2.0584,0.00637,0.00637,0.00637
57,2886.61,1.13645,1.00543,1.32197,0.6223,0.4433,0.46305,0.321,1.79809,2.13872,2.04557,0.006304,0.006304,0.006304
58,2936.8,1.13421,1.00518,1.31774,0.63324,0.43116,0.458,0.31858,1.80159,2.15847,2.01588,0.006238,0.006238,0.006238
59,2986.86,1.13459,0.9967,1.31355,0.63866,0.43816,0.4573,0.32102,1.77077,2.14742,2.00646,0.006172,0.006172,0.006172
60,3037.28,1.13727,1.00575,1.31888,0.66545,0.44013,0.46554,0.3225,1.77162,2.10426,2.00656,0.006106,0.006106,0.006106
61,3087.59,1.12932,0.9926,1.31152,0.67282,0.43038,0.47064,0.32779,1.76699,2.11452,1.98889,0.00604,0.00604,0.00604
62,3138.06,1.12617,0.98855,1.30834,0.65363,0.42963,0.46371,0.32383,1.78573,2.12232,1.99257,0.005974,0.005974,0.005974
63,3188.42,1.12795,0.99319,1.30859,0.63309,0.441,0.46677,0.32703,1.79961,2.13764,2.02987,0.005908,0.005908,0.005908
64,3238.64,1.12703,0.98203,1.30402,0.63874,0.43744,0.45947,0.32107,1.79297,2.1429,2.01446,0.005842,0.005842,0.005842
65,3289,1.1219,0.98025,1.30811,0.64322,0.43945,0.46673,0.32645,1.78839,2.15567,2.0175,0.005776,0.005776,0.005776
66,3339.2,1.13005,0.98702,1.30867,0.68496,0.41497,0.46692,0.32567,1.78926,2.11323,2.01399,0.00571,0.00571,0.00571
67,3389.68,1.11859,0.97087,1.30571,0.66402,0.42228,0.46471,0.3282,1.77725,2.13138,2.00114,0.005644,0.005644,0.005644
68,3439.99,1.11215,0.97266,1.30403,0.64477,0.43364,0.46549,0.32697,1.77386,2.12057,1.9762,0.005578,0.005578,0.005578
69,3490.24,1.1049,0.96364,1.29274,0.63481,0.43874,0.4688,0.32767,1.79908,2.1344,2.0348,0.005512,0.005512,0.005512
70,3540.51,1.10287,0.95957,1.29437,0.65193,0.4353,0.46991,0.32982,1.79264,2.11061,2.03993,0.005446,0.005446,0.005446
71,3590.89,1.09634,0.94064,1.28218,0.6472,0.4422,0.47753,0.33755,1.78234,2.14132,2.02006,0.00538,0.00538,0.00538
72,3641.07,1.09939,0.95216,1.28895,0.66603,0.43244,0.47472,0.33661,1.78285,2.13804,2.00992,0.005314,0.005314,0.005314
