epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2609.94,1.19525,1.15943,1.34074,0.65364,0.42014,0.45464,0.3136,1.75444,2.08034,1.9783,0.007228,0.007228,0.007228
44,2667.93,1.18198,1.14853,1.33425,0.63579,0.43548,0.45935,0.3165,1.76448,2.08969,1.96668,0.007162,0.007162,0.007162
45,2726.19,1.18833,1.14285,1.33368,0.63876,0.42268,0.44207,0.30554,1.74587,2.07956,1.92768,0.007096,0.007096,0.007096
46,2784.5,1.19132,1.14578,1.33666,0.65464,0.42542,0.45497,0.31343,1.74135,2.13237,1.93915,0.00703,0.00703,0.00703
47,2843,1.17629,1.12512,1.32655,0.62484,0.41892,0.44306,0.30636,1.73581,2.09594,1.93997,0.006964,0.006964,0.006964
48,2901.1,1.17793,1.13704,1.33432,0.66571,0.41446,0.45989,0.31596,1.77529,2.11985,1.99538,0.006898,0.006898,0.006898
49,2959.46,1.18001,1.12923,1.32724,0.6219,0.42644,0.43881,0.30634,1.77085,2.14668,1.98429,0.006832,0.006832,0.006832
50,3017.66,1.17038,1.11782,1.3254,0.625,0.42511,0.45907,0.3215,1.74631,2.0861,1.95279,0.006766,0.006766,0.006766
51,3075.78,1.16382,1.10559,1.31655,0.64681,0.41816,0.45172,0.31308,1.73747,2.09068,1.97314,0.0067,0.0067,0.0067
52,3134.18,1.1568,1.09454,1.30807,0.63189,0.44284,0.45391,0.31417,1.74832,2.07654,1.97943,0.006634,0.006634,0.006634
53,3193.06,1.15455,1.10407,1.31085,0.61167,0.44376,0.45792,0.31533,1.73971,2.05046,1.96007,0.006568,0.006568,0.006568
54,3251.41,1.15626,1.09777,1.30946,0.65281,0.42934,0.46144,0.3187,1.73332,2.02564,1.96584,0.006502,0.006502,0.006502
55,3310.05,1.1491,1.09646,1.30152,0.6304,0.43682,0.45228,0.31392,1.74118,2.08029,1.97371,0.006436,0.006436,0.006436
56,3368.88,1.14641,1.09571,1.30311,0.64285,0.43159,0.45306,0.31355,1.73924,2.0654,1.9643,0.00637,0.00637,0.00637
57,3427.41,1.14809,1.08581,1.30009,0.63581,0.42551,0.44945,0.31216,1.76067,2.04649,1.99194,0.006304,0.006304,0.006304
58,3486.2,1.13955,1.08105,1.29839,0.65927,0.4301,0.45972,0.31832,1.75526,2.06453,1.99105,0.006238,0.006238,0.006238
59,3544.73,1.13857,1.07605,1.29821,0.63846,0.42917,0.44956,0.31387,1.74753,2.08327,1.99843,0.006172,0.006172,0.006172
60,3603.15,1.14038,1.07107,1.29995,0.62774,0.43244,0.45497,0.3158,1.7451,2.03542,1.98837,0.006106,0.006106,0.006106
61,3661.56,1.1314,1.06552,1.29303,0.62532,0.44369,0.46009,0.32,1.74233,2.05576,1.99498,0.00604,0.00604,0.00604
62,3720.51,1.13295,1.05712,1.28662,0.63042,0.43061,0.45357,0.31485,1.75138,2.04816,2.00479,0.005974,0.005974,0.005974
63,3778.89,1.11788,1.04593,1.28114,0.65576,0.42958,0.455,0.31408,1.74244,2.05706,1.99771,0.005908,0.005908,0.005908
64,3837.49,1.11729,1.0509,1.28508,0.64519,0.43335,0.45547,0.31688,1.73098,2.04854,1.99347,0.005842,0.005842,0.005842
65,3896.07,1.11692,1.04295,1.28234,0.61845,0.44212,0.45225,0.31501,1.73258,2.05207,1.99866,0.005776,0.005776,0.005776
66,3954.63,1.11398,1.03556,1.27948,0.63795,0.43101,0.45997,0.32069,1.72734,2.03667,1.98428,0.00571,0.00571,0.00571
67,4013.09,1.1135,1.04118,1.28218,0.62937,0.44346,0.4636,0.3235,1.73705,2.03067,1.98721,0.005644,0.005644,0.005644
68,4072.2,1.11005,1.04234,1.28191,0.61566,0.44735,0.46237,0.32314,1.74102,2.03179,1.99524,0.005578,0.005578,0.005578
69,4130.72,1.10761,1.0446,1.27799,0.63764,0.43422,0.46254,0.32543,1.72703,2.02909,1.99082,0.005512,0.005512,0.005512
70,4189.21,1.1112,1.03521,1.27523,0.63781,0.43577,0.46367,0.3264,1.72799,2.03258,2.00096,0.005446,0.005446,0.005446
71,4247.79,1.09454,1.02089,1.26591,0.64181,0.43976,0.46392,0.32677,1.73044,2.02997,2.01103,0.00538,0.00538,0.00538
72,4306.49,1.10433,1.02738,1.27505,0.65356,0.43414,0.46209,0.32537,1.72695,2.03793,2.00373,0.005314,0.005314,0.005314
73,4364.84,1.08841,1.01528,1.26684,0.64175,0.44092,0.46084,0.32376,1.72509,2.04877,2.00216,0.005248,0.005248,0.005248
74,4423.62,1.08295,1.00956,1.26348,0.65083,0.43813,0.4637,0.32574,1.7283,2.05053,2.0043,0.005182,0.005182,0.005182
75,4482.32,1.09065,1.01292,1.26384,0.64592,0.44364,0.46395,0.32653,1.72257,2.0488,1.9999,0.005116,0.005116,0.005116
76,4540.75,1.08423,1.00064,1.26455,0.63763,0.44332,0.46118,0.32407,1.71495,2.03317,1.9899,0.00505,0.00505,0.00505
77,4599.26,1.07852,0.99899,1.25803,0.64236,0.44842,0.46326,0.32561,1.70947,2.02421,1.98819,0.004984,0.004984,0.004984
