epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9734,1.70507,3.03033,1.62043,0.87128,0.10784,0.06844,0.02903,2.52581,3.99834,2.38642,0.000326667,0.000326667,0.000326667
2,41.8119,1.64869,2.04273,1.63163,0.75028,0.04252,0.04824,0.01892,2.56659,3.4517,2.33102,0.000655644,0.000655644,0.000655644
3,61.8323,1.64436,1.9268,1.6397,0.72535,0.06933,0.0493,0.01994,2.59275,3.8713,2.69393,0.000980221,0.000980221,0.000980221
4,81.3435,1.62905,1.8098,1.62702,0.71068,0.05596,0.0357,0.01354,2.60065,4.13863,2.52056,0.0009802,0.0009802,0.0009802
5,100.676,1.63441,1.72718,1.60446,0.74688,0.07219,0.06852,0.02892,2.54928,3.65139,2.58475,0.0009736,0.0009736,0.0009736
6,119.992,1.5612,1.61848,1.59997,0.75908,0.08044,0.07574,0.03552,2.63053,4.02322,2.57265,0.000967,0.000967,0.000967
7,139.302,1.56668,1.57083,1.56925,0.75681,0.08479,0.0808,0.0367,2.48231,4.30157,2.46347,0.0009604,0.0009604,0.0009604
8,158.378,1.52175,1.52541,1.56266,0.77204,0.08774,0.09496,0.04647,2.46678,3.94655,2.55648,0.0009538,0.0009538,0.0009538
9,177.299,1.51467,1.47979,1.54612,0.59137,0.0881,0.08072,0.03998,2.43873,4.39043,2.48379,0.0009472,0.0009472,0.0009472
10,196.407,1.49538,1.42736,1.53693,0.27093,0.09216,0.09776,0.04989,2.48915,3.90904,2.47488,0.0009406,0.0009406,0.0009406
11,215.562,1.48263,1.40615,1.5282,0.09813,0.09697,0.08817,0.04171,2.48215,4.03769,2.41496,0.000934,0.000934,0.000934
12,234.883,1.46425,1.39939,1.51494,0.09398,0.0925,0.08271,0.03925,2.54748,4.32731,2.57759,0.0009274,0.0009274,0.0009274
13,253.957,1.47209,1.34461,1.504,0.10428,0.09893,0.09951,0.04922,2.39778,4.24375,2.45265,0.0009208,0.0009208,0.0009208
14,272.767,1.42385,1.3123,1.48609,0.1168,0.09286,0.10398,0.05338,2.49092,3.94719,2.48867,0.0009142,0.0009142,0.0009142
15,291.832,1.44086,1.30012,1.4838,0.11513,0.09677,0.10337,0.04942,2.44595,4.0483,2.46304,0.0009076,0.0009076,0.0009076
16,310.983,1.41006,1.284,1.4699,0.44204,0.10506,0.10539,0.05383,2.43464,4.00561,2.47329,0.000901,0.000901,0.000901
17,330.169,1.40077,1.27036,1.46598,0.27698,0.09868,0.09785,0.05066,2.47754,4.22265,2.47629,0.0008944,0.0008944,0.0008944
18,349.057,1.35521,1.2197,1.44268,0.26547,0.09698,0.09507,0.0493,2.40134,4.31065,2.4475,0.0008878,0.0008878,0.0008878
19,367.851,1.36607,1.2092,1.42874,0.76784,0.09115,0.09242,0.04524,2.60156,4.58747,2.67095,0.0008812,0.0008812,0.0008812
20,386.649,1.36089,1.22479,1.45037,0.77284,0.10111,0.10058,0.05093,2.45839,4.16541,2.45144,0.0008746,0.0008746,0.0008746
21,405.487,1.32936,1.17093,1.41959,0.78141,0.10804,0.10908,0.05822,2.42239,4.13096,2.45493,0.000868,0.000868,0.000868
22,424.591,1.34403,1.17819,1.41743,0.59766,0.09572,0.10555,0.05509,2.31942,4.51294,2.42975,0.0008614,0.0008614,0.0008614
23,443.226,1.31323,1.15739,1.39431,0.79364,0.10207,0.12034,0.06537,2.47759,3.91611,2.46511,0.0008548,0.0008548,0.0008548
24,462.567,1.28224,1.11347,1.39534,0.60948,0.10137,0.1328,0.06634,2.4452,4.17239,2.52235,0.0008482,0.0008482,0.0008482
25,482.015,1.31838,1.14956,1.40861,0.44433,0.10679,0.1322,0.07404,2.47895,4.12483,2.51975,0.0008416,0.0008416,0.0008416
26,501.316,1.3096,1.12778,1.39632,0.60308,0.09624,0.11126,0.05838,2.33119,4.16534,2.34463,0.000835,0.000835,0.000835
27,520.67,1.30572,1.12211,1.38887,0.44861,0.10507,0.11443,0.05999,2.3854,4.3335,2.48566,0.0008284,0.0008284,0.0008284
28,541.563,1.26844,1.08122,1.3747,0.45698,0.10497,0.11238,0.06027,2.4797,4.50173,2.59499,0.0008218,0.0008218,0.0008218
29,560.569,1.25793,1.0727,1.36303,0.45635,0.10692,0.1144,0.06166,2.42427,4.16242,2.47494,0.0008152,0.0008152,0.0008152
30,579.499,1.28831,1.08211,1.37377,0.44805,0.10859,0.11274,0.06313,2.34919,4.245,2.40936,0.0008086,0.0008086,0.0008086
31,598.737,1.26146,1.07951,1.36423,0.44703,0.10117,0.10606,0.05774,2.47082,4.71472,2.56503,0.000802,0.000802,0.000802
32,617.737,1.24455,1.03883,1.34859,0.45128,0.11283,0.11341,0.06098,2.37152,4.36545,2.41083,0.0007954,0.0007954,0.0007954
33,636.678,1.25568,1.04718,1.35268,0.45885,0.10509,0.1135,0.06422,2.3562,4.47006,2.45001,0.0007888,0.0007888,0.0007888
34,655.616,1.25427,1.04166,1.35301,0.36945,0.10865,0.09833,0.05276,2.57881,4.55709,2.60573,0.0007822,0.0007822,0.0007822
35,674.534,1.23359,1.01009,1.34575,0.43669,0.11362,0.10691,0.05899,2.42317,4.66722,2.51079,0.0007756,0.0007756,0.0007756
36,693.382,1.21204,1.00805,1.33489,0.45276,0.10769,0.1122,0.05983,2.5763,4.47533,2.64091,0.000769,0.000769,0.000769
37,712.255,1.20264,0.99539,1.31687,0.44729,0.1108,0.10499,0.05704,2.58623,4.37161,2.60878,0.0007624,0.0007624,0.0007624
38,731.065,1.19232,0.98944,1.3289,0.45324,0.11168,0.11055,0.0613,2.44915,4.48976,2.53779,0.0007558,0.0007558,0.0007558
39,749.762,1.19111,0.97949,1.32081,0.44931,0.10595,0.10932,0.0598,2.43346,4.50245,2.55506,0.0007492,0.0007492,0.0007492
40,768.391,1.18875,0.96672,1.30876,0.39906,0.10357,0.11313,0.06223,2.5352,4.52922,2.59108,0.0007426,0.0007426,0.0007426
41,787.037,1.19347,0.96473,1.31589,0.4562,0.11558,0.1293,0.06877,2.39982,4.46567,2.48897,0.000736,0.000736,0.000736
42,805.553,1.13709,0.94663,1.29845,0.38999,0.10997,0.11726,0.06552,2.38787,4.35227,2.42736,0.0007294,0.0007294,0.0007294
43,824.172,1.13994,0.94537,1.29876,0.472,0.11055,0.11781,0.06446,2.4032,4.5356,2.46214,0.0007228,0.0007228,0.0007228
44,843.066,1.1579,0.94864,1.29984,0.45194,0.1105,0.11317,0.06071,2.43455,4.56861,2.51499,0.0007162,0.0007162,0.0007162
45,861.949,1.15129,0.94523,1.29189,0.35458,0.11238,0.10792,0.05767,2.48349,4.45891,2.5847,0.0007096,0.0007096,0.0007096
46,880.899,1.14356,0.93683,1.292,0.44852,0.10552,0.11503,0.06701,2.48211,4.29395,2.45866,0.000703,0.000703,0.000703
47,899.894,1.13675,0.92624,1.28681,0.46804,0.11514,0.12254,0.06802,2.38015,4.57324,2.47772,0.0006964,0.0006964,0.0006964
48,918.609,1.12792,0.9111,1.2882,0.46463,0.11483,0.11821,0.06441,2.33093,4.45953,2.43195,0.0006898,0.0006898,0.0006898
49,937.149,1.12119,0.89557,1.28127,0.36699,0.11315,0.117,0.06772,2.27638,4.53735,2.40356,0.0006832,0.0006832,0.0006832
50,956.036,1.13851,0.9098,1.27679,0.37056,0.11357,0.11565,0.06364,2.47639,4.55132,2.54631,0.0006766,0.0006766,0.0006766
51,974.873,1.11807,0.89621,1.28225,0.46139,0.1168,0.11811,0.06569,2.35711,4.66398,2.47334,0.00067,0.00067,0.00067
52,993.561,1.1156,0.89685,1.27276,0.46843,0.11344,0.12056,0.06542,2.49496,4.40764,2.5425,0.0006634,0.0006634,0.0006634
53,1012.25,1.08422,0.86751,1.2611,0.47895,0.11258,0.1032,0.05629,2.45927,4.76174,2.53225,0.0006568,0.0006568,0.0006568
54,1031.14,1.09723,0.86934,1.24828,0.39497,0.11728,0.11657,0.06547,2.45696,4.53096,2.53997,0.0006502,0.0006502,0.0006502
55,1049.85,1.07951,0.85985,1.24732,0.45989,0.11563,0.12262,0.07016,2.35292,4.54012,2.4486,0.0006436,0.0006436,0.0006436
56,1068.52,1.07275,0.85597,1.25008,0.46956,0.11614,0.12594,0.07122,2.39733,4.4966,2.47018,0.000637,0.000637,0.000637
57,1087.22,1.0672,0.8426,1.24206,0.41836,0.11882,0.1162,0.06496,2.47178,4.59232,2.58492,0.0006304,0.0006304,0.0006304
58,1106.02,1.07491,0.84203,1.2498,0.4674,0.11118,0.11511,0.06412,2.40084,4.66859,2.5242,0.0006238,0.0006238,0.0006238
59,1124.54,1.05588,0.84322,1.24147,0.47956,0.10955,0.1245,0.07052,2.3907,4.54043,2.53148,0.0006172,0.0006172,0.0006172
60,1143.29,1.05073,0.80694,1.22601,0.48085,0.11499,0.12174,0.06931,2.36822,4.59632,2.52695,0.0006106,0.0006106,0.0006106
61,1161.93,1.06235,0.82242,1.23021,0.41868,0.12344,0.12665,0.07277,2.43136,4.4728,2.49008,0.000604,0.000604,0.000604
