epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6288,1.6744,2.99102,1.633,0.63012,0.0904,0.17227,0.08056,2.22469,3.2217,2.14351,0.000330556,0.000330556,0.000330556
2,60.1787,1.63177,2.19008,1.63393,0.48026,0.21239,0.2172,0.11494,2.27579,3.01631,2.42964,0.000659507,0.000659507,0.000659507
3,88.7007,1.63298,2.04968,1.65712,0.33378,0.13155,0.133,0.06828,2.46971,5.15055,2.63112,0.000984059,0.000984059,0.000984059
4,116.498,1.6847,1.96336,1.70776,0.38564,0.2651,0.25562,0.13478,2.4353,2.87514,2.47835,0.0009802,0.0009802,0.0009802
5,144.735,1.62414,1.83759,1.67108,0.43713,0.27324,0.27445,0.14274,2.32613,2.76908,2.37956,0.0009736,0.0009736,0.0009736
6,172.797,1.60803,1.76338,1.64677,0.53549,0.27182,0.29226,0.16726,2.18581,2.87698,2.23409,0.000967,0.000967,0.000967
7,200.52,1.55252,1.67309,1.61768,0.52806,0.31068,0.32587,0.18554,2.22243,2.61796,2.31054,0.0009604,0.0009604,0.0009604
8,230.825,1.52926,1.6174,1.59905,0.43646,0.2949,0.30129,0.16818,2.1803,2.65272,2.24154,0.0009538,0.0009538,0.0009538
9,258.734,1.50678,1.56508,1.56669,0.50992,0.29711,0.30285,0.17017,2.21157,2.75374,2.26246,0.0009472,0.0009472,0.0009472
10,286.434,1.47454,1.52898,1.55926,0.53421,0.25885,0.29605,0.17103,2.28533,2.98517,2.40284,0.0009406,0.0009406,0.0009406
11,314.219,1.4607,1.48963,1.5444,0.57737,0.30713,0.32911,0.19107,2.1911,2.73852,2.26484,0.000934,0.000934,0.000934
12,342.097,1.43937,1.45698,1.52692,0.50166,0.29698,0.3029,0.17617,2.14325,2.80243,2.2682,0.0009274,0.0009274,0.0009274
13,369.808,1.41732,1.40754,1.51766,0.55063,0.29057,0.32401,0.18983,2.19045,2.88839,2.24008,0.0009208,0.0009208,0.0009208
14,397.604,1.4209,1.39556,1.49928,0.5921,0.3278,0.356,0.20672,2.17506,2.57279,2.30231,0.0009142,0.0009142,0.0009142
15,425.254,1.37891,1.37361,1.49974,0.52143,0.29612,0.33517,0.20171,2.10932,2.69357,2.27076,0.0009076,0.0009076,0.0009076
16,452.908,1.38685,1.35393,1.49002,0.58803,0.31289,0.35713,0.21403,2.10307,2.87418,2.25845,0.000901,0.000901,0.000901
17,480.579,1.35007,1.31375,1.46381,0.56494,0.27546,0.3221,0.18513,2.14632,2.75959,2.3067,0.0008944,0.0008944,0.0008944
18,508.591,1.36446,1.32003,1.479,0.51898,0.32004,0.35071,0.21032,2.1203,2.67897,2.23315,0.0008878,0.0008878,0.0008878
19,536.522,1.33126,1.30773,1.45674,0.58288,0.26033,0.31802,0.18818,2.13513,3.26311,2.26758,0.0008812,0.0008812,0.0008812
20,564.277,1.32975,1.26907,1.452,0.60183,0.32337,0.35957,0.22246,2.08199,2.76634,2.2519,0.0008746,0.0008746,0.0008746
21,591.842,1.30991,1.25761,1.43723,0.53294,0.32655,0.35573,0.21675,2.12334,2.74561,2.3297,0.000868,0.000868,0.000868
22,619.326,1.30031,1.23651,1.44247,0.56441,0.32748,0.36586,0.22141,2.09751,2.82887,2.2633,0.0008614,0.0008614,0.0008614
23,646.798,1.3007,1.21813,1.43058,0.59559,0.32871,0.36469,0.22422,2.06326,2.69507,2.19263,0.0008548,0.0008548,0.0008548
24,674.625,1.28357,1.20682,1.42186,0.56791,0.32662,0.35082,0.21384,2.11384,2.71465,2.33605,0.0008482,0.0008482,0.0008482
25,702.096,1.27,1.19669,1.41201,0.57607,0.30345,0.37691,0.23168,2.13231,2.8584,2.3572,0.0008416,0.0008416,0.0008416
26,729.597,1.27457,1.19114,1.41167,0.60032,0.35732,0.38213,0.23049,2.1249,2.71952,2.36794,0.000835,0.000835,0.000835
27,756.975,1.25891,1.16889,1.39822,0.57217,0.28628,0.35176,0.21876,2.11606,2.96425,2.33387,0.0008284,0.0008284,0.0008284
28,784.368,1.26287,1.17533,1.39657,0.58462,0.34311,0.37339,0.22602,2.08613,2.67169,2.24133,0.0008218,0.0008218,0.0008218
29,811.827,1.25685,1.17371,1.4005,0.58241,0.34972,0.37601,0.22935,2.09616,2.70403,2.29161,0.0008152,0.0008152,0.0008152
30,839.439,1.21882,1.12035,1.36899,0.57838,0.35742,0.38519,0.23626,2.05213,2.58562,2.25092,0.0008086,0.0008086,0.0008086
31,867.322,1.22415,1.10956,1.37562,0.5766,0.31691,0.37471,0.22757,2.06651,2.66813,2.2642,0.000802,0.000802,0.000802
32,894.97,1.22572,1.1156,1.38397,0.54576,0.33232,0.3612,0.22013,2.0648,2.77239,2.22316,0.0007954,0.0007954,0.0007954
33,922.698,1.21385,1.10929,1.36233,0.60288,0.30905,0.38527,0.2399,2.10472,2.83524,2.28284,0.0007888,0.0007888,0.0007888
34,950.177,1.22284,1.10465,1.36448,0.53785,0.32743,0.36232,0.22399,2.13796,2.80853,2.34562,0.0007822,0.0007822,0.0007822
35,977.96,1.2062,1.09842,1.35599,0.50009,0.3407,0.35039,0.20936,2.05887,2.62414,2.24804,0.0007756,0.0007756,0.0007756
36,1005.58,1.19636,1.08232,1.35525,0.57102,0.33701,0.35784,0.2204,2.02943,2.7444,2.28814,0.000769,0.000769,0.000769
37,1033.29,1.20475,1.07371,1.35826,0.55177,0.34545,0.36803,0.22448,2.12422,2.80449,2.32244,0.0007624,0.0007624,0.0007624
38,1060.56,1.18281,1.06958,1.34863,0.61924,0.33259,0.38949,0.23974,2.04904,2.69464,2.22941,0.0007558,0.0007558,0.0007558
39,1088.18,1.16967,1.0568,1.33628,0.58391,0.35661,0.38335,0.23972,2.03886,2.62063,2.26997,0.0007492,0.0007492,0.0007492
40,1115.79,1.19022,1.05902,1.3411,0.53225,0.3629,0.37036,0.23009,2.06383,2.74589,2.33774,0.0007426,0.0007426,0.0007426
41,1143.09,1.15587,1.03184,1.32553,0.61991,0.33706,0.39439,0.24996,2.07381,2.7497,2.29832,0.000736,0.000736,0.000736
42,1170.52,1.15321,1.02235,1.31943,0.57625,0.33776,0.38239,0.23396,2.08831,2.63763,2.2958,0.0007294,0.0007294,0.0007294
43,1198.12,1.14555,1.03463,1.32562,0.61444,0.3578,0.39445,0.24831,2.09423,2.78651,2.31813,0.0007228,0.0007228,0.0007228
44,1226.07,1.15315,1.03123,1.32351,0.57566,0.34668,0.37925,0.2335,2.13107,2.69035,2.33151,0.0007162,0.0007162,0.0007162
45,1253.68,1.14495,1.02676,1.31369,0.58658,0.33339,0.37756,0.24014,2.05281,2.8765,2.28863,0.0007096,0.0007096,0.0007096
46,1281.25,1.13656,1.00333,1.30731,0.61894,0.35864,0.4006,0.25397,2.02518,2.66365,2.20762,0.000703,0.000703,0.000703
47,1308.7,1.13186,0.99542,1.31174,0.56303,0.3381,0.3797,0.2404,2.08425,2.73823,2.33787,0.0006964,0.0006964,0.0006964
48,1336.21,1.119,0.98576,1.30401,0.61389,0.35774,0.39613,0.24909,2.09077,2.62191,2.35671,0.0006898,0.0006898,0.0006898
49,1363.75,1.11755,0.9972,1.3132,0.625,0.33125,0.40181,0.25267,2.07965,2.79686,2.28336,0.0006832,0.0006832,0.0006832
50,1391.3,1.12297,0.97874,1.30371,0.61509,0.33973,0.40151,0.25172,2.09606,2.75765,2.31938,0.0006766,0.0006766,0.0006766
51,1418.9,1.10058,0.96248,1.30005,0.57956,0.3485,0.39763,0.25367,2.08534,2.8521,2.28923,0.00067,0.00067,0.00067
52,1446.43,1.09095,0.96317,1.28554,0.56711,0.35696,0.38355,0.23988,2.06199,2.70369,2.28732,0.0006634,0.0006634,0.0006634
53,1473.91,1.08478,0.95745,1.28889,0.59716,0.35303,0.40103,0.25261,2.03827,2.71668,2.24626,0.0006568,0.0006568,0.0006568
54,1501.43,1.0964,0.95314,1.29415,0.57754,0.35471,0.39101,0.2437,2.05965,2.76791,2.2584,0.0006502,0.0006502,0.0006502
55,1528.85,1.06753,0.94211,1.2724,0.60279,0.34893,0.39556,0.24993,2.07868,2.68578,2.36209,0.0006436,0.0006436,0.0006436
56,1556.26,1.08233,0.94615,1.28301,0.58745,0.35939,0.39146,0.24869,2.07044,2.67919,2.39442,0.000637,0.000637,0.000637
57,1584.08,1.07832,0.93383,1.28344,0.57771,0.35063,0.3771,0.23589,2.09,2.7423,2.34382,0.0006304,0.0006304,0.0006304
58,1611.9,1.08002,0.92516,1.27447,0.62367,0.35,0.39335,0.24621,2.06131,2.66506,2.36934,0.0006238,0.0006238,0.0006238
59,1639.61,1.07087,0.90229,1.25943,0.60995,0.34215,0.39331,0.24951,2.0324,2.73662,2.30295,0.0006172,0.0006172,0.0006172
60,1666.96,1.05584,0.91618,1.25877,0.58479,0.35076,0.39092,0.2468,2.0275,2.68422,2.28725,0.0006106,0.0006106,0.0006106
61,1694.44,1.05024,0.89498,1.2544,0.58863,0.33754,0.38702,0.24807,2.0542,2.78512,2.33463,0.000604,0.000604,0.000604
62,1721.97,1.05136,0.89311,1.25416,0.56759,0.34565,0.38407,0.2462,2.02541,2.84518,2.28278,0.0005974,0.0005974,0.0005974
63,1749.43,1.0541,0.91167,1.25902,0.59358,0.36416,0.38875,0.24753,2.05522,2.67175,2.31525,0.0005908,0.0005908,0.0005908
64,1776.92,1.05178,0.89183,1.25237,0.59626,0.35154,0.39273,0.24706,2.06987,2.71152,2.34766,0.0005842,0.0005842,0.0005842
65,1804.49,1.04273,0.90159,1.25441,0.60421,0.35589,0.39736,0.25063,2.07383,2.67427,2.39111,0.0005776,0.0005776,0.0005776
